game_id,season,date,time_utc,start_time_iso,home_team,away_team,opponent,designation,venue,location,status,home_score,away_score,tickets_url
game-vs-north-carolina-on-11072025-met31ocx,2025-2026,2025-11-08,02:15:00,2025-11-08T02:15:00Z,East Carolina University,University of North Carolina,University of North Carolina,Home,"Carolina Ice Zone - Greenville, NC","Carolina Ice Zone - Greenville, NC",L,2,8,https://www.ecuhockey.com/tickets
game-vs-tbd-on-11142025-memuboc2,2025-2026,2025-11-14,14:45:00,2025-11-14T14:45:00Z,Georgetown University,East Carolina University,Georgetown University,Away,ACCHL FALL CLASSIC,ACCHL FALL CLASSIC,L,5,1,
game-vs-tbd-on-11152025-memucmlv,2025-2026,2025-11-15,13:15:00,2025-11-15T13:15:00Z,St. Joesph's,East Carolina University,St. Joesph's,Away,ACCHL FALL CLASSIC,ACCHL FALL CLASSIC,W,0,8,
game-vs-tbd-on-11162025-memudccm,2025-2026,2025-11-16,17:00:00,2025-11-16T17:00:00Z,James Madison University,East Carolina University,James Madison University,Away,ACCHL FALL CLASSIC,ACCHL FALL CLASSIC,L,4,3,
game-vs-georgia-tech-on-11202025-memuks0e,2025-2026,2025-11-21,00:30:00,2025-11-21T00:30:00Z,Georgia Tech,East Carolina University,Georgia Tech,Away,"Truist Field - Charlotte, NC","Truist Field - Charlotte, NC",L,3,2,
game-vs-wake-forest-university-on-01102026-mk3el4qc,2025-2026,2026-01-10,18:15:00,2026-01-10T18:15:00Z,Wake Forest University,East Carolina University,Wake Forest University,Away,Winston-Salem Fairgrounds Annex,Winston-Salem Fairgrounds Annex,W,1,5,
game-vs-george-washington-university-on-01172026-mk3enp8g,2025-2026,2026-01-18,02:15:00,2026-01-18T02:15:00Z,East Carolina University,George Washington University,George Washington University,Home,"Carolina Ice Zone - Greenville, NC","Carolina Ice Zone - Greenville, NC",W,6,4,https://www.ecuhockey.com/tickets
game-vs-charlotte-on-01232026-mk3epgxf,2025-2026,2026-01-23,17:00:00,2026-01-23T17:00:00Z,UNC Charlotte,East Carolina University,UNC Charlotte,Away,"Garner Ice House - Garner, NC","Garner Ice House - Garner, NC",L,3,0,
game-vs-elon-on-01242026-mk3eqlfs,2025-2026,2026-01-25,02:15:00,2026-01-25T02:15:00Z,East Carolina University,Elon University,Elon University,Home,"Carolina Ice Zone - Greenville, NC","Carolina Ice Zone - Greenville, NC",T,0,0,https://www.ecuhockey.com/tickets
game-vs-elon-on-02062026-mk3es0pl,2025-2026,2026-02-07,03:15:00,2026-02-07T03:15:00Z,Elon University,East Carolina University,Elon University,Away,"Orange County Sportsplex - Hillsborough, NC","Orange County Sportsplex, 101 Meadowlands Dr, Hillsborough, NC 27278",W,2,9,
game-vs-appalachian-state-on-02102026-mlhd2qyg,2025-2026,2026-02-10,21:16:02,2026-02-10T21:16:02Z,Appalachian State University,East Carolina University,Appalachian State University,Away,Winston-Salem Fairgrounds Annex,Winston-Salem Fairgrounds Annex,W,4,6,
game-vs-alabama-d2-on-09042026-mrxghe3d,2026-2027,2026-09-05,00:00:00,2026-09-05T00:00:00Z,University of Alabama (D2),East Carolina University,University of Alabama (D2),Away,"Pelham Civic Complex, Pelham, AL, 35124","Pelham Civic Complex, Pelham, AL, 35124",T,0,0,
game-vs-alabama-d2-on-09062026-mrxgj4xd,2026-2027,2026-09-06,17:00:00,2026-09-06T17:00:00Z,University of Alabama (D2),East Carolina University,University of Alabama (D2),Away,"Pelham Civic Complex, Pelham, AL, 35124","Pelham Civic Complex, Pelham, AL, 35124",T,0,0,
game-vs-duke-on-07232026-mrxgoqop,2026-2027,2026-09-12,01:00:00,2026-09-12T01:00:00Z,East Carolina University,Elon University,Elon University,Home,"Carolina Ice Zone, Greenville, NC, 27858","Carolina Ice Zone, Greenville, NC, 27858",T,0,0,https://www.ecuhockey.com/tickets
game-vs-charlotte-on-09192026-mrxgmz79,2026-2027,2026-09-20,00:00:00,2026-09-20T00:00:00Z,UNC Charlotte,East Carolina University,UNC Charlotte,Away,"Extreme Ice Center, Indian Trail, NC, 28079","Extreme Ice Center, Indian Trail, NC, 28079",T,0,0,
game-vs-charlotte-on-10092026-msyx0jgc,2026-2027,2026-10-10,00:29:00,2026-10-10T00:29:00Z,UNC Charlotte,East Carolina University,UNC Charlotte,Away,"Extreme Ice Center, Indian Trail, NC, 28079","Extreme Ice Center, Indian Trail, NC, 28079",T,0,0,
game-vs-clemson-on-07232026-mrxgwmq7,2026-2027,2026-10-16,22:00:00,2026-10-16T22:00:00Z,Clemson University,East Carolina University,Clemson University,Away,"Pavillion Recreation Complex, Taylors, SC, 29687","Pavillion Recreation Complex, Taylors, SC, 29687",T,0,0,
game-vs-clemson-on-10182026-mrxgyqol,2026-2027,2026-10-18,15:45:00,2026-10-18T15:45:00Z,Clemson University,East Carolina University,Clemson University,Away,"Pavillion Recreation Complex, Taylors, SC, 29867","Pavillion Recreation Complex, Taylors, SC, 29867",T,0,0,
game-vs-george-washington-university-on-10232026-mrxh0vrf,2026-2027,2026-10-24,01:00:00,2026-10-24T01:00:00Z,East Carolina University,George Washington University,George Washington University,Home,"The St. James, Springfield, VA, 22151","The St. James, Springfield, VA, 22151",T,0,0,https://www.ecuhockey.com/tickets
game-vs-christopher-newport-on-10242026-mrxh2ee5,2026-2027,2026-10-24,17:45:00,2026-10-24T17:45:00Z,Christopher Newport,East Carolina University,Christopher Newport,Away,"Chilled Ponds, Yorktown, VA, 23693","Chilled Ponds, Yorktown, VA, 23693",T,0,0,
game-vs-tbd-on-11062026-mry17c87,2026-2027,2026-11-06,15:30:00,2026-11-06T15:30:00Z,TBD,East Carolina University,TBD,Away,"The St. James, Springfield, VA, 22151","The St. James, Springfield, VA, 22151",T,0,0,
game-vs-tbd-on-11072026-mry18jcr,2026-2027,2026-11-07,17:00:00,2026-11-07T17:00:00Z,East Carolina University,TBD,TBD,Home,"The St. James, Springfield, VA, 22151","The St. James, Springfield, VA, 22151",T,0,0,https://www.ecuhockey.com/tickets
game-vs-high-point-on-11142026-mrxh6oid,2026-2027,2026-11-14,23:45:00,2026-11-14T23:45:00Z,East Carolina University,High Point University,High Point University,Home,"Carolina Ice Zone, Greenville, NC, 27858","Carolina Ice Zone, Greenville, NC, 27858",T,0,0,https://www.ecuhockey.com/tickets
game-vs-duke-on-01082027-mry1cna4,2026-2027,2027-01-08,21:45:00,2027-01-08T21:45:00Z,East Carolina University,Duke University,Duke University,Home,"Polar Ice Garner, Garner, NC, 27529","Polar Ice Garner, Garner, NC, 27529",T,0,0,https://www.ecuhockey.com/tickets
